date,  Alcoholic beverages and tobacco,  Clothing and footwear,  Communication,  Education,  Food and non-alcoholic beverages,"  Furnishings, household equipment and routine household maintenance",  Health,"  Housing, water, electricity and other fuels",  Miscellaneous goods and services,  Recreation and culture,  Restaurants and hotels,  Transport,Total item
2018/01,1.2,1.3,-0.1,1.1,-1.1,2.7,0.4,1.4,-0.3,-2.3,2.7,1.4,0.8
2018/02,0.5,1.3,-0.3,1.2,1.7,2.4,0.4,1.3,0.0,0.0,2.8,1.1,1.3
2018/03,0.3,1.3,0.4,1.2,0.9,2.5,0.6,1.2,0.2,0.0,2.9,1.2,1.2
2018/04,0.2,2.3,0.1,1.4,2.5,2.3,0.5,1.1,0.9,0.0,3.1,1.4,1.5
2018/05,0.2,1.0,0.0,1.4,1.9,2.4,0.4,0.7,0.4,1.2,3.1,2.4,1.5
2018/06,0.0,0.9,-0.4,1.4,1.3,1.3,0.1,0.5,1.1,1.3,3.1,3.8,1.5
2018/07,0.2,1.5,-1.5,1.4,1.4,2.9,-0.9,-1.1,0.5,-0.2,3.2,4.3,1.1
2018/08,0.1,0.7,-1.6,1.4,3.6,2.6,-0.9,-0.9,0.9,0.5,3.1,4.2,1.4
2018/09,0.0,0.7,-1.7,1.5,5.8,2.0,-0.4,0.7,1.0,2.1,3.1,3.8,2.1
2018/10,0.1,0.7,-1.6,1.5,5.7,1.9,-0.3,0.7,0.5,0.6,3.0,4.2,2.0
2018/11,0.3,1.1,-1.7,1.5,5.3,2.2,-0.2,1.5,1.1,1.9,3.1,2.4,2.0
2018/12,0.1,0.5,-1.9,1.5,4.2,2.0,-0.3,1.3,0.9,0.9,3.1,-0.9,1.3
2019/01,0.1,0.4,-1.5,1.6,2.6,2.6,-0.5,0.9,1.6,1.1,3.0,-3.8,0.8
2019/02,0.0,0.4,-2.3,1.4,0.4,3.2,-0.4,1.5,1.6,0.6,2.8,-4.2,0.5
2019/03,-0.1,0.0,-2.4,1.2,1.1,2.4,-0.5,1.2,1.5,0.1,2.2,-3.6,0.4
2019/04,0.1,-0.2,-2.6,1.0,1.4,3.3,0.0,1.0,1.5,-0.4,1.9,-1.9,0.6
2019/05,0.7,-0.2,-2.7,1.1,1.9,1.5,0.0,1.1,1.9,-1.0,1.8,-0.6,0.7
2019/06,0.9,-0.1,-2.8,1.1,2.0,1.7,0.1,1.2,1.5,-0.1,1.8,-1.0,0.7
2019/07,0.8,0.0,-2.6,1.1,0.8,2.1,1.0,1.4,1.8,-0.2,1.7,-1.6,0.6
2019/08,0.8,0.0,-2.2,1.0,-3.3,1.9,0.9,1.2,1.5,-0.2,1.7,-1.9,0.0
2019/09,1.1,0.0,-1.8,-0.8,-4.1,1.4,1.1,1.1,1.4,-1.3,1.4,-1.6,-0.4
2019/10,1.2,0.1,-1.8,-0.8,-1.3,2.2,1.2,1.0,1.7,-0.6,1.4,-2.4,0.0
2019/11,0.7,0.4,-2.4,-0.7,-0.7,1.5,1.3,1.1,1.5,-0.6,1.2,-1.2,0.2
