date,  Domestic Economic Situation,  Expectations of Domestic Economic Situation,  Expectations of Employment Situation,  Expectations of Household Debt,  Expectations of Household Saving,  Expectations of Housing Prices,  Expectations of Interest Rates,  Expectations of Living Standard of Household,  Expectations of Wages,  Living Standard of Household,  Present Debt of Household,  Present Saving of Household,Composite Consumer Sentiment Index
2018/01,90.0,102.0,93.0,98.0,96.0,110.0,130.0,102.0,126.0,94.0,102.0,91.0,111.6
2018/02,89.0,98.0,93.0,98.0,96.0,112.0,128.0,102.0,123.0,94.0,102.0,91.0,109.8
2018/03,87.0,97.0,94.0,97.0,96.0,107.0,127.0,102.0,121.0,95.0,102.0,91.0,109.7
2018/04,86.0,96.0,94.0,97.0,96.0,101.0,128.0,102.0,120.0,95.0,101.0,91.0,108.7
2018/05,89.0,101.0,96.0,96.0,96.0,102.0,128.0,102.0,120.0,95.0,102.0,92.0,109.6
2018/06,84.0,96.0,93.0,98.0,95.0,98.0,126.0,99.0,119.0,94.0,103.0,90.0,106.9
2018/07,77.0,87.0,87.0,98.0,95.0,98.0,128.0,97.0,118.0,91.0,103.0,91.0,102.1
2018/08,70.0,82.0,85.0,99.0,94.0,109.0,125.0,97.0,121.0,89.0,104.0,89.0,100.1
2018/09,64.0,77.0,78.0,99.0,94.0,128.0,126.0,93.0,121.0,90.0,102.0,92.0,101.0
2018/10,67.0,77.0,79.0,100.0,93.0,114.0,135.0,91.0,121.0,91.0,102.0,92.0,100.2
2018/11,62.0,72.0,75.0,102.0,91.0,101.0,130.0,90.0,118.0,90.0,102.0,90.0,96.6
2018/12,62.0,72.0,74.0,101.0,93.0,95.0,132.0,91.0,119.0,89.0,102.0,91.0,97.8
2019/01,65.0,76.0,78.0,99.0,95.0,91.0,125.0,91.0,122.0,90.0,102.0,91.0,98.5
2019/02,70.0,80.0,79.0,99.0,94.0,84.0,120.0,92.0,120.0,93.0,102.0,93.0,100.6
2019/03,70.0,79.0,79.0,99.0,93.0,83.0,115.0,94.0,116.0,91.0,102.0,92.0,100.8
2019/04,74.0,81.0,83.0,98.0,97.0,87.0,110.0,95.0,117.0,93.0,101.0,95.0,102.8
2019/05,69.0,75.0,80.0,97.0,95.0,93.0,109.0,92.0,116.0,91.0,101.0,93.0,98.9
2019/06,69.0,75.0,79.0,98.0,95.0,97.0,100.0,92.0,117.0,91.0,100.0,92.0,98.6
2019/07,67.0,70.0,77.0,98.0,93.0,106.0,94.0,92.0,118.0,91.0,100.0,93.0,96.9
2019/08,63.0,66.0,74.0,98.0,93.0,107.0,85.0,89.0,118.0,90.0,100.0,89.0,93.3
