date,      Bank of Korea -   Domestic Currency,      Bank of Korea -   Domestic Market,      Bank of Korea -   Foreign Currency,      Bank of Korea -   Foreign Market,      Bank of Korea -   Short Term,      Bank of Korea - Currency,      Bank of Korea - Market of Issuance,      Central Government -   Domestic Currency,      Central Government -   Domestic Market,      Central Government -   Foreign Currency,      Central Government -   Foreign Market,      Central Government -   Short Term,      Central Government - Currency,      Central Government - Market of Issuance,      Depository Corporations -   Domestic Currency,      Depository Corporations -   Domestic Market,      Depository Corporations -   Foreign Currency,      Depository Corporations -   Foreign Market,      Depository Corporations -   Short Term,      Depository Corporations - Currency,      Depository Corporations - Market of Issuance,      Insurance Corporations and Pension Funds -   Domestic Currency,      Insurance Corporations and Pension Funds -   Domestic Market,      Insurance Corporations and Pension Funds -   Foreign Currency,      Insurance Corporations and Pension Funds -   Foreign Market,      Insurance Corporations and Pension Funds -   Short Term,      Insurance Corporations and Pension Funds - Currency,      Insurance Corporations and Pension Funds - Market of Issuance,    Financial Corporations -   Domestic Currency,    Financial Corporations -   Domestic Market,    Financial Corporations -   Foreign Currency,    Financial Corporations -   Foreign Market,    Financial Corporations -   Short Term,    Financial Corporations - Currency,    Financial Corporations - Market of Issuance,    General Government -   Domestic Currency,    General Government -   Domestic Market,    General Government -   Foreign Currency,    General Government -   Foreign Market,    General Government -   Short Term,    General Government - Currency,    General Government - Market of Issuance
2018/Q1,"3,911.0","3,911.0",0.0,0.0,"1,974.0","3,911.0","3,911.0","22,145.0","22,145.0",0.0,0.0,"3,487.0","22,145.0","22,145.0",-48.0,49.0,"2,868.0","2,770.0","-2,194.0","2,819.0","2,819.0",-1.0,-1.0,0.0,0.0,-60.0,-1.0,-1.0,"17,703.0","17,883.0","2,976.0","2,796.0","1,869.0","20,679.0","20,679.0","22,069.0","22,069.0",0.0,0.0,"3,487.0","22,069.0","22,069.0"
2018/Q2,-166.0,-166.0,0.0,0.0,"2,426.0",-166.0,-166.0,"17,959.0","17,959.0",0.0,0.0,"-2,405.0","17,959.0","17,959.0","7,682.0","7,681.0",655.0,657.0,"4,058.0","8,338.0","8,338.0",864.0,864.0,"1,026.0","1,026.0",190.0,"1,890.0","1,890.0","12,635.0","12,541.0","2,171.0","2,265.0","2,385.0","14,807.0","14,807.0","18,286.0","18,256.0",-29.0,0.0,"-2,405.0","18,256.0","18,256.0"
2018/Q3,8.0,8.0,0.0,0.0,-889.0,8.0,8.0,"-9,044.0","-9,044.0","1,108.0","1,108.0",-277.0,"-7,935.0","-7,935.0","6,283.0","6,281.0","3,859.0","3,861.0","3,015.0","10,142.0","10,142.0",986.0,986.0,9.0,9.0,-80.0,995.0,995.0,"9,959.0","9,961.0","3,996.0","3,995.0","-3,367.0","13,956.0","13,956.0","-9,278.0","-9,278.0","1,108.0","1,108.0",-227.0,"-8,169.0","-8,169.0"
2018/Q4,"-2,897.0","-2,897.0",0.0,0.0,"-1,173.0","-2,897.0","-2,897.0","-12,780.0","-12,780.0",-157.0,-157.0,-794.0,"-12,937.0","-12,937.0","8,584.0","8,588.0",234.0,231.0,"-2,081.0","8,819.0","8,819.0","-1,354.0",-960.0,389.0,-5.0,-350.0,-965.0,-965.0,"39,956.0","40,232.0",191.0,-85.0,"6,275.0","40,147.0","40,147.0","-12,713.0","-12,713.0",-157.0,-157.0,-794.0,"-12,869.0","-12,869.0"
2019/Q1,-478.0,-478.0,0.0,0.0,"-4,866.0",-478.0,-478.0,"35,808.0","35,808.0",-3.0,-3.0,"17,174.0","35,806.0","35,806.0","1,953.0","1,959.0","1,886.0","1,880.0","-4,286.0","3,839.0","3,839.0",409.0,409.0,-19.0,-19.0,-60.0,390.0,390.0,"14,245.0","14,113.0","1,600.0","1,731.0","-7,490.0","15,845.0","15,845.0","35,860.0","35,860.0",-3.0,-3.0,"17,174.0","35,857.0","35,857.0"
2019/Q2,440.0,440.0,0.0,0.0,"1,792.0",440.0,440.0,"16,709.0","16,710.0",-25.0,-25.0,"-1,003.0","16,684.0","16,684.0",-130.0,-126.0,-34.0,-38.0,"-4,525.0",-164.0,-164.0,"1,845.0","1,845.0",-18.0,-18.0,0.0,"1,827.0","1,827.0","26,366.0","26,377.0","1,390.0","1,379.0","9,081.0","27,756.0","27,756.0","18,034.0","18,034.0",-25.0,-25.0,"-1,003.0","18,008.0","18,008.0"
2019/Q3,-597.0,-597.0,0.0,0.0,"-2,314.0",-597.0,-597.0,"-1,615.0","-1,615.0",0.0,0.0,"-8,630.0","-1,615.0","-1,615.0","8,858.0","8,860.0",-478.0,-480.0,171.0,"8,380.0","8,380.0",-252.0,-252.0,-41.0,-41.0,0.0,-292.0,-292.0,"11,901.0","11,841.0",-504.0,-444.0,"1,902.0","11,398.0","11,398.0","-1,967.0","-1,967.0",0.0,0.0,"-8,680.0","-1,967.0","-1,967.0"
2019/Q4,"-6,927.0","-6,927.0",0.0,0.0,"-1,207.0","-6,927.0","-6,927.0","-2,443.0","-2,443.0",0.0,0.0,"-7,375.0","-2,443.0","-2,443.0",574.0,488.0,"1,616.0","1,702.0","-2,371.0","2,190.0","2,190.0","1,201.0","1,186.0",24.0,39.0,218.0,"1,226.0","1,226.0","17,054.0","16,956.0","1,514.0","1,612.0","6,847.0","18,568.0","18,568.0","-2,320.0","-2,320.0",0.0,0.0,"-7,375.0","-2,320.0","-2,320.0"
2020/Q1,"1,686.0","1,686.0",0.0,0.0,"-2,222.0","1,686.0","1,686.0","51,484.0","51,484.0",0.0,0.0,"16,376.0","51,483.0","51,483.0","8,209.0","8,210.0",-936.0,-938.0,"-8,595.0","7,273.0","7,273.0",269.0,269.0,-58.0,-58.0,-218.0,211.0,211.0,"24,599.0","24,557.0",968.0,"1,010.0","-11,573.0","25,568.0","25,568.0","52,043.0","52,043.0",0.0,0.0,"16,376.0","52,043.0","52,043.0"
2020/Q2,"3,184.0","3,184.0",0.0,0.0,"4,816.0","3,184.0","3,184.0","29,822.0","29,822.0",0.0,0.0,"-2,046.0","29,822.0","29,822.0","14,559.0","14,559.0",764.0,764.0,"19,619.0","15,323.0","15,323.0",189.0,189.0,0.0,0.0,0.0,189.0,189.0,"20,868.0","20,878.0","2,079.0","2,068.0","16,510.0","22,946.0","22,946.0","31,518.0","31,518.0",0.0,0.0,"-2,046.0","31,518.0","31,518.0"
2020/Q3,"-2,142.0","-2,142.0",0.0,0.0,"-4,456.0","-2,142.0","-2,142.0","26,397.0","26,397.0","1,712.0","1,712.0","-6,247.0","28,110.0","28,110.0","11,399.0","11,364.0","3,277.0","3,313.0","3,247.0","14,676.0","14,676.0",9.0,365.0,709.0,352.0,0.0,718.0,718.0,"21,119.0","21,442.0","6,360.0","6,037.0","-1,802.0","27,479.0","27,479.0","26,497.0","26,497.0","1,712.0","1,712.0","-6,247.0","28,209.0","28,209.0"
2020/Q4,"-7,518.0","-7,518.0",0.0,0.0,"-2,456.0","-7,518.0","-7,518.0","7,798.0","7,798.0",0.0,0.0,"-8,028.0","7,798.0","7,798.0","2,832.0","2,832.0",-444.0,-444.0,"2,310.0","2,387.0","2,387.0",-311.0,-296.0,-6.0,-22.0,0.0,-317.0,-317.0,"7,871.0","7,880.0",-455.0,-464.0,"5,542.0","7,416.0","7,416.0","8,998.0","8,998.0",0.0,0.0,"-8,028.0","8,998.0","8,998.0"
2021/Q1,"-2,029.0","-2,029.0",0.0,0.0,"-1,740.0","-2,029.0","-2,029.0","54,111.0","54,111.0",0.0,0.0,"13,270.0","54,111.0","54,111.0","1,679.0","1,679.0","2,132.0","2,132.0","2,063.0","3,810.0","3,810.0",-71.0,-86.0,-6.0,10.0,0.0,-77.0,-77.0,"5,914.0","5,894.0","1,716.0","1,736.0","5,189.0","7,630.0","7,630.0","54,144.0","54,144.0",0.0,0.0,"13,270.0","54,145.0","54,145.0"
