date,Won per China Yuan Renminbi (Close),Won per China Yuan Renminbi (Higt),Won per China Yuan Renminbi (Low),Won per China Yuan Renminbi (Open),Won per Japan Yen(quoted by KEB Hana Bank),Won per United States Dollar (Close 02:00),Won per United States Dollar (Close 15:30),Won per United States Dollar (High),Won per United States Dollar (Low),Won per United States Dollar (Open)
2018/01/02,163.36,164.23,163.35,163.85,941.82,0.00,"1,061.20","1,067.70","1,061.20","1,066.00"
2018/01/03,163.75,164.09,163.54,163.55,948.12,0.00,"1,064.50","1,067.60","1,062.70","1,063.40"
2018/01/04,163.41,164.16,163.37,163.90,943.72,0.00,"1,062.20","1,068.40","1,061.70","1,065.00"
2018/01/05,163.96,164.13,163.62,163.88,939.90,0.00,"1,062.70","1,063.90","1,060.20","1,062.00"
2018/01/08,164.33,165.21,163.73,164.05,941.61,0.00,"1,066.00","1,069.90","1,058.80","1,062.00"
2018/01/09,164.10,164.53,163.91,164.53,947.23,0.00,"1,067.10","1,069.50","1,065.50","1,068.50"
2018/01/10,164.14,164.14,163.60,164.07,953.86,0.00,"1,071.90","1,073.00","1,069.00","1,073.00"
2018/01/11,164.49,164.58,163.98,164.07,959.37,0.00,"1,072.00","1,073.30","1,069.00","1,070.50"
2018/01/12,164.20,164.27,163.86,164.18,956.87,0.00,"1,064.80","1,066.30","1,063.00","1,065.20"
2018/01/15,165.27,165.35,164.12,164.20,958.99,0.00,"1,062.70","1,063.00","1,059.50","1,061.00"
2018/01/16,165.21,165.66,165.20,165.32,958.51,0.00,"1,062.70","1,066.20","1,062.20","1,063.00"
2018/01/17,166.05,166.10,165.43,165.45,964.90,0.00,"1,069.30","1,069.30","1,062.80","1,064.30"
2018/01/18,166.22,166.40,165.84,166.01,962.73,0.00,"1,070.70","1,071.80","1,067.50","1,069.00"
2018/01/19,166.78,167.17,166.45,166.72,961.53,0.00,"1,065.90","1,070.90","1,064.10","1,070.00"
2018/01/22,166.89,166.99,166.69,166.82,965.05,0.00,"1,070.10","1,070.50","1,065.90","1,067.00"
2018/01/23,167.32,167.42,166.77,166.80,966.06,0.00,"1,070.20","1,072.00","1,066.80","1,068.00"
2018/01/24,167.38,167.71,167.15,167.70,973.40,0.00,"1,070.20","1,073.00","1,068.50","1,073.00"
2018/01/25,167.50,167.62,167.18,167.51,973.38,0.00,"1,058.60","1,065.60","1,057.90","1,065.00"
2018/01/26,168.13,168.30,167.96,168.19,974.04,0.00,"1,063.90","1,067.00","1,062.80","1,065.50"
2018/01/29,168.35,168.58,168.14,168.24,978.96,0.00,"1,065.60","1,067.10","1,061.90","1,064.00"
2018/01/30,169.27,169.29,168.70,168.82,987.67,0.00,"1,073.60","1,073.90","1,069.00","1,071.00"
2018/01/31,169.26,169.55,169.05,169.41,982.79,0.00,"1,067.90","1,074.00","1,067.50","1,074.00"
2018/02/01,170.15,170.53,169.77,169.82,979.26,0.00,"1,071.90","1,074.00","1,068.50","1,068.50"
2018/02/02,171.66,171.74,170.38,170.38,983.96,0.00,"1,079.70","1,081.10","1,070.70","1,071.00"
2018/02/05,172.63,173.10,172.54,172.58,989.59,0.00,"1,088.50","1,093.00","1,087.60","1,090.00"
2018/02/06,173.24,173.99,172.98,173.54,"1,002.62",0.00,"1,091.50","1,098.60","1,088.40","1,096.60"
2018/02/07,173.36,173.42,172.21,172.33,995.19,0.00,"1,086.60","1,087.60","1,079.50","1,082.00"
2018/02/08,171.47,172.71,170.96,172.51,992.47,0.00,"1,087.90","1,090.90","1,085.30","1,090.00"
2018/02/09,172.11,172.44,171.60,172.12,"1,002.25",0.00,"1,092.10","1,098.00","1,089.00","1,098.00"
2018/02/12,171.75,171.99,171.44,171.90,997.79,0.00,"1,084.60","1,085.20","1,081.60","1,084.50"
2018/02/13,171.23,171.35,170.74,170.94,"1,003.42",0.00,"1,084.50","1,084.90","1,080.40","1,081.80"
2018/02/14,170.06,171.19,169.93,171.19,"1,004.71",0.00,"1,077.20","1,084.00","1,076.00","1,084.00"
2018/02/19,169.19,169.77,169.15,169.50,"1,001.78",0.00,"1,067.60","1,069.80","1,066.40","1,068.00"
2018/02/20,169.88,169.88,169.31,169.55,"1,004.35",0.00,"1,073.50","1,073.50","1,068.60","1,068.60"
2018/02/21,169.68,169.79,169.33,169.51,998.75,0.00,"1,076.20","1,077.30","1,072.40","1,074.50"
2018/02/22,170.88,171.13,169.87,169.87,"1,009.26",0.00,"1,084.30","1,085.10","1,077.00","1,077.00"
2018/02/23,170.22,170.56,170.05,170.56,"1,008.46",0.00,"1,079.00","1,081.50","1,076.40","1,081.50"
2018/02/26,170.08,170.20,169.82,169.92,"1,007.65",0.00,"1,073.40","1,075.40","1,072.70","1,075.00"
2018/02/27,170.07,170.45,169.69,170.02,"1,003.04",0.00,"1,071.30","1,073.80","1,068.70","1,071.00"
2018/02/28,171.06,171.21,170.61,170.82,"1,011.06",0.00,"1,082.80","1,084.00","1,079.00","1,080.50"
2018/03/02,170.09,170.50,169.99,170.50,"1,021.46",0.00,"1,080.30","1,083.80","1,079.50","1,082.50"
2018/03/05,170.79,170.89,170.23,170.50,"1,025.06",0.00,"1,082.00","1,082.40","1,076.50","1,078.10"
2018/03/06,169.80,170.13,169.61,170.10,"1,013.37",0.00,"1,076.10","1,077.20","1,073.90","1,077.00"
2018/03/07,169.20,169.23,168.73,168.73,"1,012.17",0.00,"1,069.10","1,070.30","1,065.00","1,065.00"
2018/03/08,169.12,169.12,168.72,168.80,"1,009.58",0.00,"1,070.20","1,070.40","1,066.40","1,066.50"
2018/03/09,168.61,168.86,168.31,168.84,"1,002.48",0.00,"1,069.80","1,072.00","1,067.40","1,070.00"
2018/03/12,168.32,168.55,168.06,168.44,998.17,0.00,"1,065.20","1,066.50","1,063.00","1,065.50"
2018/03/13,168.75,168.80,168.39,168.50,999.58,0.00,"1,067.50","1,067.90","1,063.80","1,064.70"
2018/03/14,168.59,169.04,168.48,168.82,999.30,0.00,"1,064.60","1,068.70","1,062.70","1,067.00"
2018/03/15,168.86,169.29,168.69,168.83,"1,004.86",0.00,"1,065.40","1,067.70","1,063.60","1,064.00"
2018/03/16,168.74,169.33,168.74,169.05,"1,006.66",0.00,"1,066.20","1,071.70","1,065.70","1,069.50"
2018/03/19,169.22,169.30,168.90,168.95,"1,013.29",0.00,"1,071.60","1,072.40","1,069.30","1,070.00"
2018/03/20,168.98,169.73,168.93,169.65,"1,005.60",0.00,"1,068.60","1,073.40","1,068.20","1,072.50"
2018/03/21,169.44,169.45,169.08,169.10,"1,007.75",0.00,"1,072.30","1,072.50","1,070.50","1,071.00"
2018/03/22,169.75,169.81,168.88,168.88,"1,013.13",0.00,"1,072.70","1,073.00","1,064.80","1,065.00"
2018/03/23,171.10,171.26,170.30,170.68,"1,033.42",0.00,"1,082.20","1,083.50","1,079.00","1,081.00"
2018/03/26,171.45,171.62,171.04,171.24,"1,029.23",0.00,"1,081.10","1,082.70","1,078.60","1,082.00"
