date,    Accommodation and food services,"    Arts, sports and recreation",    Basic metals,    Building repair,    Business support services,    Chemicals and chemical products,    Coke and refined petroleum products,    Communication,"    Computer, electronic and optical products",    Electrical equipment,    Fabricated metal products,"    Food, beverages products",    Machinery and equipment,    Non-metallic mineral products,    Non-residential building construction,"    Other manufacturing, repair and installation of machinery and equipment","    Professional, scientific and technical services","    Publishing, broadcasting, motion picture, video and television programme production, and information service",    Residential building construction,    Textile and leather products,    Transportation equipment,    Wholesale and retail trade,"    Wood and paper products, printing and reproduction of recorded media",  Building construction and repair,  Business activities,  Civil engineering,  Cultural and other services,  Education,  Electricity,  Finance and insurance,"  Gas, steam and air conditioning supply",  Human health and social work,  Information and communication,  Manufacturing,"  Public administration, defence and social security",  Real estate,  Transportation and storage,"  Water supply, sewerage, waste management and remediation activities","  Wholesale and retail trade, accommodation and food services","Agriculture, forestry and fishing",Construction,"Electricity, gas and water supply",Gross domestic product at market prices(GDP),Gross national income(GNI),"Mining, quarrying and Manufacturing",Net factor income from the rest of the world,Services
2018/Q1,"11,589.2","6,294.6","8,102.9","1,522.0","15,917.9","20,756.5","3,833.7","5,362.2","40,819.9","7,105.2","8,714.2","6,263.6","11,844.1","3,225.5","8,134.9","3,159.9","19,107.0","14,698.2","9,911.7","4,426.2","13,965.5","43,935.0","3,657.3","19,568.6","35,024.8","7,051.8","13,156.8","21,727.9","5,101.4","25,607.3","1,487.4","22,221.8","20,060.3","135,874.4","28,364.4","37,338.3","16,308.4","2,947.7","55,524.1","7,728.4","26,620.4","9,536.4","495,521.4","497,483.7","136,388.8","1,962.3","275,334.1"
2018/Q2,"11,731.9","6,245.7","7,993.1","1,553.1","15,941.8","21,657.9","4,436.0","5,297.0","42,716.1","7,082.8","8,911.8","6,123.6","11,758.9","3,287.5","8,190.8","3,227.7","19,263.5","14,587.7","9,949.6","4,456.2","14,508.9","43,091.7","3,757.8","19,693.5","35,205.3","6,825.8","13,071.6","21,961.4","4,839.7","25,755.0","1,186.7","22,641.2","19,884.7","139,918.3","28,985.5","36,847.0","16,762.0","2,973.1","54,823.5","7,825.2","26,519.3","8,999.5","499,840.0","501,015.4","140,424.6","1,175.4","275,937.2"
2018/Q3,"11,908.1","6,241.5","8,415.0","1,624.3","16,050.6","21,981.8","3,883.3","5,254.8","44,451.9","7,493.7","9,117.7","6,169.9","12,076.2","3,206.2","7,867.8","3,327.2","19,437.2","14,838.3","10,050.7","4,421.3","14,741.0","43,267.6","3,803.7","19,542.7","35,487.9","6,841.2","13,144.9","22,062.4","4,805.5","25,828.9","1,363.6","23,263.0","20,093.2","143,089.0","29,394.8","36,846.4","16,810.8","3,049.0","55,175.7","8,101.9","26,383.9","9,218.1","506,010.2","508,232.5","143,566.9","2,222.3","278,107.8"
2018/Q4,"12,168.2","6,576.2","8,807.8","1,619.1","16,167.8","21,345.4","2,940.1","5,198.4","39,053.9","7,816.7","9,396.2","6,286.4","11,952.3","3,363.5","8,355.2","3,281.6","19,630.9","14,998.2","9,686.0","4,403.8","15,899.2","43,597.2","3,852.7","19,660.3","35,798.7","6,711.7","13,492.1","22,042.7","4,357.9","25,949.9","1,712.0","24,006.6","20,196.6","138,399.5","29,890.0","37,266.8","17,780.6","2,975.2","55,765.4","8,442.6","26,372.0","9,045.2","505,602.9","507,856.9","138,898.5","2,254.0","282,189.4"
2019/Q1,"12,433.6","6,392.5","8,375.1","1,681.5","16,323.8","21,302.9","2,916.3","5,344.3","37,843.3","7,526.6","9,123.4","6,383.2","11,963.4","3,162.6","8,254.5","3,127.0","19,815.3","15,382.4","9,269.9","4,339.7","15,016.5","44,162.0","3,730.9","19,205.9","36,139.1","6,819.3","13,456.8","22,262.0","4,581.3","25,516.0","1,871.6","24,591.4","20,726.8","134,811.0","30,133.9","37,746.2","17,452.2","3,041.5","56,595.6","7,855.6","26,025.2","9,494.4","503,374.4","504,129.8","135,289.0",755.5,"284,620.0"
2019/Q2,"12,350.6","6,701.8","8,164.4","1,756.2","16,883.8","21,541.3","2,752.4","5,191.2","37,300.7","7,838.5","9,342.8","6,591.4","12,081.7","3,163.8","8,472.2","3,088.8","20,740.8","15,840.0","9,205.3","4,410.1","15,906.7","44,016.2","3,648.9","19,433.7","37,624.7","7,783.2","13,771.8","22,833.0","5,111.5","25,915.6","1,668.8","25,229.3","21,031.2","135,831.6","30,643.0","37,962.7","17,687.3","2,954.2","56,366.8","7,541.4","27,216.9","9,734.5","510,024.9","513,636.9","136,305.3","3,612.0","289,065.4"
2019/Q3,"12,724.4","6,817.6","8,004.0","1,763.3","17,172.9","21,580.1","2,737.5","5,282.9","36,705.3","7,841.1","9,061.7","6,451.6","12,075.4","3,201.8","8,678.0","3,077.3","21,050.8","15,753.2","8,992.1","4,355.7","15,456.6","43,920.2","3,617.7","19,433.5","38,223.7","7,904.4","13,907.5","22,939.9","5,063.7","25,700.0",613.7,"25,810.6","21,036.1","134,165.7","31,280.1","38,425.6","17,824.5","3,477.9","56,644.6","7,359.1","27,337.9","9,155.4","511,130.6","518,457.7","134,626.8","7,327.1","291,792.5"
2019/Q4,"13,139.2","7,217.5","7,599.4","1,799.9","17,449.5","21,281.1","3,161.6","5,326.7","34,406.0","7,611.5","9,470.7","6,501.0","12,726.2","3,195.4","8,938.6","3,247.9","21,603.5","16,032.3","8,833.0","4,384.2","16,005.9","44,075.3","3,709.1","19,571.5","39,052.9","8,293.3","14,354.7","23,302.4","4,900.7","25,940.9","1,560.4","26,329.2","21,359.0","133,300.0","31,734.5","39,004.1","18,078.5","3,305.9","57,214.5","7,993.5","27,864.8","9,767.0","516,064.4","520,979.7","133,771.0","4,915.4","296,370.7"
2020/Q1,"10,783.4","5,862.7","7,440.7","1,780.0","17,035.3","21,173.9",547.4,"5,455.1","37,439.2","7,648.5","9,150.8","6,378.1","12,415.7","2,994.7","8,719.1","3,169.0","21,808.0","16,642.5","8,860.5","4,339.2","14,567.7","42,683.4","3,621.1","19,359.5","38,843.3","8,327.3","12,670.1","22,274.8","6,095.0","26,571.2","1,774.8","26,249.0","22,097.6","130,886.0","31,906.0","39,154.7","16,228.5","3,519.7","53,466.8","8,047.2","27,686.9","11,389.5","509,731.8","514,273.5","131,321.2","4,541.7","289,461.9"
2020/Q2,"10,715.8","4,334.3","6,848.0","1,754.9","16,507.4","21,656.3",704.4,"5,523.9","37,243.5","7,821.9","8,436.8","6,458.3","12,067.3","2,963.3","8,593.0","3,143.3","21,647.0","16,654.2","8,958.3","3,926.6","13,313.6","41,906.5","3,412.2","19,306.2","38,154.4","8,497.9","11,059.5","22,724.3","5,916.5","26,992.5","1,542.4","25,942.4","22,178.1","127,995.5","31,921.5","40,270.2","16,388.2","3,324.7","52,622.3","7,527.5","27,804.1","10,783.6","503,976.5","507,627.9","128,419.0","3,651.4","288,253.5"
