date,    Apartment(Seoul),  All Groups(Seoul),  Apartment,  Detached Dwelling,  Row House,All Groups
2018/01,65.602,71.214,73.810,89.737,84.663,77.556
2018/02,66.249,71.708,73.961,89.915,84.844,77.723
2018/03,67.080,72.367,74.163,90.033,85.005,77.917
2018/04,67.624,72.871,74.263,90.229,85.146,78.049
2018/05,67.893,73.146,74.302,90.455,85.222,78.127
2018/06,68.158,73.426,74.344,90.639,85.304,78.203
2018/07,68.518,73.859,74.359,90.874,85.524,78.293
2018/08,69.318,74.450,74.531,90.988,85.628,78.460
2018/09,71.976,76.572,75.340,91.543,86.175,79.232
2018/10,73.300,77.668,75.803,91.844,86.497,79.677
2018/11,73.589,77.977,75.882,92.045,86.687,79.799
2018/12,73.669,78.098,75.881,92.296,86.810,79.861
2019/01,73.659,78.129,75.859,92.380,86.913,79.877
2019/02,73.591,78.092,75.772,92.450,86.882,79.824
2019/03,73.467,78.026,75.626,92.541,86.867,79.740
2019/04,73.361,78.026,75.444,92.596,86.863,79.630
2019/05,73.316,78.065,75.339,92.679,86.890,79.577
2019/06,73.261,78.158,75.190,92.807,86.957,79.508
2019/07,73.531,78.365,75.123,92.950,87.014,79.502
2019/08,73.828,78.661,75.111,93.076,87.174,79.546
2019/09,74.158,78.957,75.132,93.083,87.282,79.589
2019/10,74.587,79.247,75.216,93.088,87.325,79.664
2019/11,75.007,79.573,75.326,93.183,87.406,79.776
2019/12,75.810,80.129,75.651,93.306,87.538,80.054
2020/01,76.315,80.516,75.937,93.534,87.775,80.337
2020/02,76.708,80.798,76.283,93.642,87.954,80.634
2020/03,77.269,81.180,76.841,93.794,88.126,81.084
2020/04,77.388,81.310,77.033,93.953,88.282,81.270
2020/05,77.388,81.326,77.117,94.124,88.428,81.382
2020/06,77.788,81.755,77.489,94.471,88.871,81.776
2020/07,79.452,82.943,78.350,94.665,89.326,82.495
2020/08,81.083,84.189,79.080,94.888,89.821,83.137
2020/09,82.701,85.383,79.878,95.051,90.217,83.798
2020/10,83.317,86.178,80.338,95.663,91.071,84.359
2020/11,84.600,87.613,81.553,96.384,92.475,85.568
2020/12,85.713,88.701,82.949,96.915,93.204,86.735
2021/01,87.087,89.828,84.208,97.280,93.776,87.767
2021/02,88.480,90.856,85.688,97.662,94.480,88.962
2021/03,89.658,91.732,87.171,98.011,95.105,90.135
2021/04,90.512,92.407,88.417,98.164,95.536,91.091
2021/05,91.424,93.144,89.526,98.438,95.982,91.964
2021/06,92.941,94.084,91.218,98.465,96.189,93.169
2021/07,94.133,95.029,92.604,98.822,96.755,94.256
2021/08,95.633,96.163,94.441,99.043,97.545,95.666
