date,Trading Value KRX KTB,Trading Value Total,Trading Volume KRX KTB,Trading Volume Total
2018/01,"128,784,492,871,000.0","134,446,949,908,236.0","130,461,200,000,000.0","136,380,091,759,000.0"
2018/02,"174,227,217,284,000.0","178,946,453,767,954.0","176,366,400,000,000.0","181,327,659,319,000.0"
2018/03,"297,266,413,257,000.0","303,731,075,539,091.0","299,645,600,000,000.0","306,428,374,272,000.0"
2018/04,"197,843,833,838,000.0","203,843,553,590,386.0","199,003,900,000,000.0","205,093,430,890,000.0"
2018/05,"198,713,555,681,000.0","204,483,787,241,789.0","200,154,300,000,000.0","206,209,780,842,000.0"
2018/06,"211,893,712,664,000.0","216,945,891,434,708.0","212,310,600,000,000.0","217,596,857,769,000.0"
2018/07,"212,702,893,279,000.0","219,555,673,126,429.0","211,886,100,000,000.0","219,003,309,578,000.0"
2018/08,"238,130,186,431,000.0","247,603,849,013,186.0","235,912,000,000,000.0","245,694,871,437,000.0"
2018/09,"186,414,218,725,000.0","192,136,887,638,940.0","184,477,800,000,000.0","190,353,933,792,000.0"
2018/10,"186,920,340,511,000.0","194,454,908,003,169.0","184,001,500,000,000.0","191,760,910,087,000.0"
2018/11,"186,866,524,057,000.0","197,575,853,301,497.0","183,341,800,000,000.0","194,302,270,019,000.0"
2018/12,"108,473,314,701,000.0","113,526,037,844,796.0","106,632,900,000,000.0","111,768,564,227,000.0"
2019/01,"134,646,182,805,000.0","140,237,752,438,748.0","131,813,000,000,000.0","137,484,660,235,000.0"
2019/02,"98,980,051,882,000.0","103,470,798,635,916.0","96,928,800,000,000.0","101,474,145,801,000.0"
2019/03,"171,489,155,820,000.0","176,877,230,354,849.0","169,173,600,000,000.0","174,620,456,830,000.0"
2019/04,"237,730,838,957,000.0","243,792,621,385,507.0","234,550,600,000,000.0","240,659,603,275,000.0"
2019/05,"157,701,518,382,000.0","165,764,389,784,442.0","154,518,000,000,000.0","162,608,827,367,000.0"
2019/06,"204,857,750,427,000.0","212,513,451,866,923.0","202,045,900,000,000.0","209,729,241,425,000.0"
2019/07,"197,624,403,364,000.0","207,653,917,622,985.0","194,138,500,000,000.0","204,197,068,807,000.0"
2019/08,"261,166,765,856,000.0","267,810,656,884,887.0","253,992,900,000,000.0","260,677,146,473,000.0"
2019/09,"180,798,396,764,000.0","185,952,641,754,692.0","177,267,200,000,000.0","182,522,406,972,000.0"
2019/10,"209,598,845,194,000.0","215,977,843,747,447.0","206,822,300,000,000.0","213,364,730,056,000.0"
2019/11,"192,037,265,710,000.0","202,326,356,890,507.0","190,495,100,000,000.0","201,139,237,726,000.0"
2019/12,"114,702,885,298,000.0","121,506,968,709,203.0","114,470,000,000,000.0","121,479,157,418,000.0"
2020/01,"148,141,796,267,000.0","155,689,088,704,535.0","148,453,600,000,000.0","156,218,331,929,000.0"
2020/02,"193,304,217,652,000.0","199,560,420,005,621.0","192,694,800,000,000.0","199,086,840,094,000.0"
2020/03,"134,327,193,597,000.0","141,044,655,688,342.0","133,630,800,000,000.0","140,479,380,651,000.0"
2020/04,"173,361,520,571,000.0","179,293,392,646,351.0","172,622,300,000,000.0","178,677,425,310,000.0"
2020/05,"154,001,702,910,000.0","164,639,231,713,986.0","152,319,100,000,000.0","163,109,192,453,000.0"
2020/06,"201,942,342,963,000.0","209,144,266,381,107.0","200,887,200,000,000.0","208,165,114,571,000.0"
2020/07,"203,220,442,768,000.0","222,797,746,732,350.0","202,169,800,000,000.0","221,961,868,879,000.0"
