date,base_rate,Alcoholic beverages and tobacco,Clothing and footwear,Communication,Education,Food and non-alcoholic beverages,"Furnishings, household equipment and routine household maintenance",Health,"Housing, water, electricity and other fuels",Miscellaneous goods and services,Recreation and culture,Restaurants and hotels,Transport,Total item,Domestic Economic Situation,Expectations of Domestic Economic Situation,Expectations of Employment Situation,Expectations of Household Debt,Expectations of Household Saving,Expectations of Housing Prices,Expectations of Interest Rates,Expectations of Living Standard of Household,Expectations of Wages,Living Standard of Household,Present Debt of Household,Present Saving of Household,Composite Consumer Sentiment Index,Bank of Korea -   Domestic Currency,Bank of Korea -   Domestic Market,Bank of Korea -   Foreign Currency,Bank of Korea -   Foreign Market,Bank of Korea -   Short Term,Bank of Korea - Currency,Bank of Korea - Market of Issuance,Central Government -   Domestic Currency,Central Government -   Domestic Market,Central Government -   Foreign Currency,Central Government -   Foreign Market,Central Government -   Short Term,Central Government - Currency,Central Government - Market of Issuance,Depository Corporations -   Domestic Currency,Depository Corporations -   Domestic Market,Depository Corporations -   Foreign Currency,Depository Corporations -   Foreign Market,Depository Corporations -   Short Term,Depository Corporations - Currency,Depository Corporations - Market of Issuance,Insurance Corporations and Pension Funds -   Domestic Currency,Insurance Corporations and Pension Funds -   Domestic Market,Insurance Corporations and Pension Funds -   Foreign Currency,Insurance Corporations and Pension Funds -   Foreign Market,Insurance Corporations and Pension Funds -   Short Term,Insurance Corporations and Pension Funds - Currency,Insurance Corporations and Pension Funds - Market of Issuance,Financial Corporations -   Domestic Currency,Financial Corporations -   Domestic Market,Financial Corporations -   Foreign Currency,Financial Corporations -   Foreign Market,Financial Corporations -   Short Term,Financial Corporations - Currency,Financial Corporations - Market of Issuance,General Government -   Domestic Currency,General Government -   Domestic Market,General Government -   Foreign Currency,General Government -   Foreign Market,General Government -   Short Term,General Government - Currency,General Government - Market of Issuance,Won per China Yuan Renminbi (Close),Won per China Yuan Renminbi (Higt),Won per China Yuan Renminbi (Low),Won per China Yuan Renminbi (Open),Won per Japan Yen(quoted by KEB Hana Bank),Won per United States Dollar (Close 02:00),Won per United States Dollar (Close 15:30),Won per United States Dollar (High),Won per United States Dollar (Low),Won per United States Dollar (Open),Education,Final consumption expenditure of non-profit institutions serving households,Health,Others,Recreation and culture,Social protection,Accommodation and food services,"Arts, sports and recreation",Basic metals,Building repair,Business support services,Chemicals and chemical products,Coke and refined petroleum products,Communication,"Computer, electronic and optical products",Electrical equipment,Fabricated metal products,"Food, beverages products",Machinery and equipment,Non-metallic mineral products,Non-residential building construction,"Other manufacturing, repair and installation of machinery and equipment","Professional, scientific and technical services","Publishing, broadcasting, motion picture, video and television programme production, and information service",Residential building construction,Textile and leather products,Transportation equipment,Wholesale and retail trade,"Wood and paper products, printing and reproduction of recorded media",Building construction and repair,Business activities,Civil engineering,Cultural and other services,Education,Electricity,Finance and insurance,"Gas, steam and air conditioning supply",Human health and social work,Information and communication,Manufacturing,"Public administration, defence and social security",Real estate,Transportation and storage,"Water supply, sewerage, waste management and remediation activities","Wholesale and retail trade, accommodation and food services","Agriculture, forestry and fishing",Construction,"Electricity, gas and water supply",Gross domestic product at market prices(GDP),Gross national income(GNI),"Mining, quarrying and Manufacturing",Net factor income from the rest of the world,Services,Apartment(Seoul),All Groups(Seoul),Apartment,Detached Dwelling,Row House,All Groups,domestic_equity,domestic_fixed_income,global_equity,global_fixed_income,Trading Value KRX KTB,Trading Value Total,Trading Volume KRX KTB,Trading Volume Total,KOSDAQ_Index(Avg.),KOSDAQ_Index(End of),KOSDAQ_Market Capitalization,KOSDAQ_No.of Listed Companies,KOSDAQ_No.of Listed Issues,KOSDAQ_No.of Listed Shares,KOSDAQ_Trading Value,KOSDAQ_Trading Value (Daily Arg.),KOSDAQ_Trading Volume,KOSDAQ_Trading Volume (Daily Arg.),KOSDAQ_Turn-over ratio over listed stock,KOSPI_Dividend yield ratio,KOSPI_Index(Avg.),KOSPI_Index(End Of),KOSPI_Market Capitalization,KOSPI_No. of Listed Shares,KOSPI_No.of Listed Companies,KOSPI_No.of Listed Issues,KOSPI_Price Earnings Ratio,KOSPI_Trading Value,KOSPI_Trading Value (Daily Arg.),KOSPI_Trading Volume,KOSPI_Trading Volume (Daily Arg.),KOSPI_Turn-over ratio over listed stock,Corporation tax,Income tax,Direct tax,Indirect tax,Defense surtax,Education surtax,Transport tax,Total local tax,Total national tax,Total tax revenue,Households,(Goods) F.O.B. basis,(Services),Government,(less) Imports of goods and services,Expenditure on GDP,Exports of goods and services,Final consumption expenditure,govt_debt_total,govt_debt_domestic,govt_debt_foreign,govt_debt_fx,govt_debt_short,bank_absorption,institutional_absorption,bok_holdings,govt_debt_to_gdp
2018-07-01,1.5,0.2,1.5,-1.5,1.4,1.4,2.9,-0.9,-1.1,0.5,-0.2,3.2,4.3,1.1,77.0,87.0,87.0,98.0,95.0,98.0,128.0,97.0,118.0,91.0,103.0,91.0,102.1,8.0,8.0,0.0,0.0,-889.0,8.0,8.0,-9044.0,-9044.0,1108.0,1108.0,-277.0,-7935.0,-7935.0,6283.0,6281.0,3859.0,3861.0,3015.0,10142.0,10142.0,986.0,986.0,9.0,9.0,-80.0,995.0,995.0,9959.0,9961.0,3996.0,3995.0,-3367.0,13956.0,13956.0,-9278.0,-9278.0,1108.0,1108.0,-227.0,-8169.0,-8169.0,166.9040909090909,167.22863636363638,166.61818181818182,166.97636363636363,1007.8531818181817,0.0,1123.0454545454545,1125.7545454545455,1120.0318181818182,1122.5,2330.9,10469.7,321.0,3270.8,288.8,4258.2,11908.1,6241.5,8415.0,1624.3,16050.6,21981.8,3883.3,5254.8,44451.9,7493.7,9117.7,6169.9,12076.2,3206.2,7867.8,3327.2,19437.2,14838.3,10050.7,4421.3,14741.0,43267.6,3803.7,19542.7,35487.9,6841.2,13144.9,22062.4,4805.5,25828.9,1363.6,23263.0,20093.2,143089.0,29394.8,36846.4,16810.8,3049.0,55175.7,8101.9,26383.9,9218.1,506010.2,508232.5,143566.9,2222.3,278107.8,68.518,73.859,74.359,90.874,85.524,78.293,17.55,46.1,20.15,4.15,212702893279000.0,219555673126429.0,211886100000000.0,219003309578000.0,793.49,775.52,256779938719.0,1273.0,1276.0,35120424531.0,75768925252.0,3444042057.0,13734935950.0,624315270.0,39.18,1.7,2284.25,2295.26,1536034531292.0,51824117347.0,784.0,898.0,10.89,121236920671.0,5510769121.0,7509557921.0,341343542.0,14.57,715558.0,840118.5,1634117.0,892435.0,3.0,51049.0,149487.5,873893.5,2935123.5,3809017.0,239035.7,321938.3,59672.6,76498.9,177455.6,506010.2,204155.2,325789.2,-7936.0,-9044.0,1108.0,1108.0,-277.0,6281.0,986.0,8.0,-0.015683478317235502
2018-08-01,1.5,0.1,0.7,-1.6,1.4,3.6,2.6,-0.9,-0.9,0.9,0.5,3.1,4.2,1.4,70.0,82.0,85.0,99.0,94.0,109.0,125.0,97.0,121.0,89.0,104.0,89.0,100.1,8.0,8.0,0.0,0.0,-889.0,8.0,8.0,-9044.0,-9044.0,1108.0,1108.0,-277.0,-7935.0,-7935.0,6283.0,6281.0,3859.0,3861.0,3015.0,10142.0,10142.0,986.0,986.0,9.0,9.0,-80.0,995.0,995.0,9959.0,9961.0,3996.0,3995.0,-3367.0,13956.0,13956.0,-9278.0,-9278.0,1108.0,1108.0,-227.0,-8169.0,-8169.0,163.665,163.99136363636364,163.4240909090909,163.7409090909091,1009.3954545454544,0.0,1120.959090909091,1123.581818181818,1118.5227272727273,1120.7954545454545,2330.9,10469.7,321.0,3270.8,288.8,4258.2,11908.1,6241.5,8415.0,1624.3,16050.6,21981.8,3883.3,5254.8,44451.9,7493.7,9117.7,6169.9,12076.2,3206.2,7867.8,3327.2,19437.2,14838.3,10050.7,4421.3,14741.0,43267.6,3803.7,19542.7,35487.9,6841.2,13144.9,22062.4,4805.5,25828.9,1363.6,23263.0,20093.2,143089.0,29394.8,36846.4,16810.8,3049.0,55175.7,8101.9,26383.9,9218.1,506010.2,508232.5,143566.9,2222.3,278107.8,69.318,74.45,74.531,90.988,85.628,78.46,17.625,45.66666666666667,20.558333333333334,4.141666666666667,238130186431000.0,247603849013186.0,235912000000000.0,245694871437000.0,786.0,816.97,272940321623.0,1281.0,1284.0,35474017039.0,77814939804.0,3537042718.0,13102045200.0,595547509.0,37.13,1.68,2283.8,2322.88,1554873150916.0,52005827833.0,787.0,901.0,11.01,114980946076.0,5226406640.0,6204573096.0,282026050.0,11.94,716588.8333333334,839368.75,1635206.6666666667,891237.1666666666,3.0,51059.333333333336,148844.08333333334,879011.9166666666,2935026.75,3814038.6666666665,239035.7,321938.3,59672.6,76498.9,177455.6,506010.2,204155.2,325789.2,-7936.0,-9044.0,1108.0,1108.0,-277.0,6281.0,986.0,8.0,-0.015683478317235502
2018-09-01,1.5,0.0,0.7,-1.7,1.5,5.8,2.0,-0.4,0.7,1.0,2.1,3.1,3.8,2.1,64.0,77.0,78.0,99.0,94.0,128.0,126.0,93.0,121.0,90.0,102.0,92.0,101.0,8.0,8.0,0.0,0.0,-889.0,8.0,8.0,-9044.0,-9044.0,1108.0,1108.0,-277.0,-7935.0,-7935.0,6283.0,6281.0,3859.0,3861.0,3015.0,10142.0,10142.0,986.0,986.0,9.0,9.0,-80.0,995.0,995.0,9959.0,9961.0,3996.0,3995.0,-3367.0,13956.0,13956.0,-9278.0,-9278.0,1108.0,1108.0,-227.0,-8169.0,-8169.0,163.3523529411765,163.71235294117648,163.02823529411765,163.40882352941176,1001.8352941176471,0.0,1120.1882352941177,1123.4,1117.364705882353,1120.7,2330.9,10469.7,321.0,3270.8,288.8,4258.2,11908.1,6241.5,8415.0,1624.3,16050.6,21981.8,3883.3,5254.8,44451.9,7493.7,9117.7,6169.9,12076.2,3206.2,7867.8,3327.2,19437.2,14838.3,10050.7,4421.3,14741.0,43267.6,3803.7,19542.7,35487.9,6841.2,13144.9,22062.4,4805.5,25828.9,1363.6,23263.0,20093.2,143089.0,29394.8,36846.4,16810.8,3049.0,55175.7,8101.9,26383.9,9218.1,506010.2,508232.5,143566.9,2222.3,278107.8,71.976,76.572,75.34,91.543,86.175,79.232,17.7,45.233333333333334,20.96666666666667,4.133333333333333,186414218725000.0,192136887638940.0,184477800000000.0,190353933792000.0,824.62,822.27,273283124656.0,1285.0,1288.0,35739170737.0,80039230922.0,4708190054.0,10957376690.0,644551570.0,30.78,1.66,2307.33,2343.07,1567600410138.0,52063119299.0,788.0,902.0,11.24,103179959818.0,6069409401.0,5433226207.0,319601542.0,10.44,717619.6666666666,838619.0,1636296.3333333333,890039.3333333334,3.0,51069.666666666664,148200.66666666666,884130.3333333334,2934930.0,3819060.3333333335,239035.7,321938.3,59672.6,76498.9,177455.6,506010.2,204155.2,325789.2,-7936.0,-9044.0,1108.0,1108.0,-277.0,6281.0,986.0,8.0,-0.015683478317235502
2018-10-01,1.5,0.1,0.7,-1.6,1.5,5.7,1.9,-0.3,0.7,0.5,0.6,3.0,4.2,2.0,67.0,77.0,79.0,100.0,93.0,114.0,135.0,91.0,121.0,91.0,102.0,92.0,100.2,-2897.0,-2897.0,0.0,0.0,-1173.0,-2897.0,-2897.0,-12780.0,-12780.0,-157.0,-157.0,-794.0,-12937.0,-12937.0,8584.0,8588.0,234.0,231.0,-2081.0,8819.0,8819.0,-1354.0,-960.0,389.0,-5.0,-350.0,-965.0,-965.0,39956.0,40232.0,191.0,-85.0,6275.0,40147.0,40147.0,-12713.0,-12713.0,-157.0,-157.0,-794.0,-12869.0,-12869.0,163.45666666666668,163.75333333333333,163.0752380952381,163.3595238095238,1004.49,0.0,1132.7761904761905,1135.052380952381,1129.1238095238095,1132.257142857143,2334.6,9746.3,272.4,2408.6,222.1,4508.5,12168.2,6576.2,8807.8,1619.1,16167.8,21345.4,2940.1,5198.4,39053.9,7816.7,9396.2,6286.4,11952.3,3363.5,8355.2,3281.6,19630.9,14998.2,9686.0,4403.8,15899.2,43597.2,3852.7,19660.3,35798.7,6711.7,13492.1,22042.7,4357.9,25949.9,1712.0,24006.6,20196.6,138399.5,29890.0,37266.8,17780.6,2975.2,55765.4,8442.6,26372.0,9045.2,505602.9,507856.9,138898.5,2254.0,282189.4,73.3,77.668,75.803,91.844,86.497,79.677,17.775,44.8,21.375,4.125,186920340511000.0,194454908003169.0,184001500000000.0,191760910087000.0,724.95,648.67,216610549872.0,1283.0,1286.0,35910457605.0,72727460475.0,3463212404.0,11766829954.0,560325236.0,32.84,1.91,2153.48,2029.69,1361478009940.0,52269940511.0,788.0,902.0,9.74,128133220325.0,6101581920.0,7022096257.0,334385536.0,13.46,718650.5,837869.25,1637386.0,888841.5,3.0,51080.0,147557.25,889248.75,2934833.25,3824082.0,240610.0,324723.4,60995.7,78470.4,184007.8,505602.9,201711.3,329419.4,-12937.0,-12780.0,-157.0,-157.0,-794.0,8588.0,-960.0,-2897.0,-0.025587274123625478
2018-11-01,1.75,0.3,1.1,-1.7,1.5,5.3,2.2,-0.2,1.5,1.1,1.9,3.1,2.4,2.0,62.0,72.0,75.0,102.0,91.0,101.0,130.0,90.0,118.0,90.0,102.0,90.0,96.6,-2897.0,-2897.0,0.0,0.0,-1173.0,-2897.0,-2897.0,-12780.0,-12780.0,-157.0,-157.0,-794.0,-12937.0,-12937.0,8584.0,8588.0,234.0,231.0,-2081.0,8819.0,8819.0,-1354.0,-960.0,389.0,-5.0,-350.0,-965.0,-965.0,39956.0,40232.0,191.0,-85.0,6275.0,40147.0,40147.0,-12713.0,-12713.0,-157.0,-157.0,-794.0,-12869.0,-12869.0,162.57181818181817,162.83363636363637,162.30136363636365,162.5381818181818,994.9040909090909,0.0,1127.5454545454547,1130.3454545454547,1124.9227272727273,1127.340909090909,2334.6,9746.3,272.4,2408.6,222.1,4508.5,12168.2,6576.2,8807.8,1619.1,16167.8,21345.4,2940.1,5198.4,39053.9,7816.7,9396.2,6286.4,11952.3,3363.5,8355.2,3281.6,19630.9,14998.2,9686.0,4403.8,15899.2,43597.2,3852.7,19660.3,35798.7,6711.7,13492.1,22042.7,4357.9,25949.9,1712.0,24006.6,20196.6,138399.5,29890.0,37266.8,17780.6,2975.2,55765.4,8442.6,26372.0,9045.2,505602.9,507856.9,138898.5,2254.0,282189.4,73.589,77.977,75.882,92.045,86.687,79.799,17.85,44.36666666666667,21.783333333333335,4.116666666666666,186866524057000.0,197575853301497.0,183341800000000.0,194302270019000.0,687.78,695.76,233039252203.0,1301.0,1304.0,35959955151.0,68898452439.0,3131747838.0,12640975404.0,574589791.0,35.45,1.85,2083.33,2096.86,1403482457592.0,52337546122.0,789.0,903.0,10.07,116439444410.0,5292702019.0,6978958763.0,317225398.0,13.34,719681.3333333334,837119.5,1638475.6666666667,887643.6666666666,3.0,51090.333333333336,146913.83333333334,894367.1666666666,2934736.5,3829103.6666666665,240610.0,324723.4,60995.7,78470.4,184007.8,505602.9,201711.3,329419.4,-12937.0,-12780.0,-157.0,-157.0,-794.0,8588.0,-960.0,-2897.0,-0.025587274123625478
2018-12-01,1.75,0.1,0.5,-1.9,1.5,4.2,2.0,-0.3,1.3,0.9,0.9,3.1,-0.9,1.3,62.0,72.0,74.0,101.0,93.0,95.0,132.0,91.0,119.0,89.0,102.0,91.0,97.8,-2897.0,-2897.0,0.0,0.0,-1173.0,-2897.0,-2897.0,-12780.0,-12780.0,-157.0,-157.0,-794.0,-12937.0,-12937.0,8584.0,8588.0,234.0,231.0,-2081.0,8819.0,8819.0,-1354.0,-960.0,389.0,-5.0,-350.0,-965.0,-965.0,39956.0,40232.0,191.0,-85.0,6275.0,40147.0,40147.0,-12713.0,-12713.0,-157.0,-157.0,-794.0,-12869.0,-12869.0,154.868,155.1005,154.61700000000002,154.8895,948.5795,0.0,1066.52,1069.09,1064.59,1067.35,2334.6,9746.3,272.4,2408.6,222.1,4508.5,12168.2,6576.2,8807.8,1619.1,16167.8,21345.4,2940.1,5198.4,39053.9,7816.7,9396.2,6286.4,11952.3,3363.5,8355.2,3281.6,19630.9,14998.2,9686.0,4403.8,15899.2,43597.2,3852.7,19660.3,35798.7,6711.7,13492.1,22042.7,4357.9,25949.9,1712.0,24006.6,20196.6,138399.5,29890.0,37266.8,17780.6,2975.2,55765.4,8442.6,26372.0,9045.2,505602.9,507856.9,138898.5,2254.0,282189.4,73.669,78.098,75.881,92.296,86.81,79.861,17.925,43.93333333333334,22.191666666666666,4.108333333333333,108473314701000.0,113526037844796.0,106632900000000.0,111768564227000.0,676.49,675.65,228238295556.0,1323.0,1326.0,36397928717.0,61235954293.0,3222944963.0,11535487944.0,607130944.0,31.87,1.93,2070.13,2041.04,1343971857986.0,52094789048.0,788.0,901.0,9.58,99742194373.0,5249589178.0,7631879180.0,401677852.0,14.66,720712.1666666666,836369.75,1639565.3333333333,886445.8333333334,3.0,51100.666666666664,146270.41666666666,899485.5833333334,2934639.75,3834125.3333333335,240610.0,324723.4,60995.7,78470.4,184007.8,505602.9,201711.3,329419.4,-12937.0,-12780.0,-157.0,-157.0,-794.0,8588.0,-960.0,-2897.0,-0.025587274123625478
2019-01-01,1.75,0.1,0.4,-1.5,1.6,2.6,2.6,-0.5,0.9,1.6,1.1,3.0,-3.8,0.8,65.0,76.0,78.0,99.0,95.0,91.0,125.0,91.0,122.0,90.0,102.0,91.0,98.5,-478.0,-478.0,0.0,0.0,-4866.0,-478.0,-478.0,35808.0,35808.0,-3.0,-3.0,17174.0,35806.0,35806.0,1953.0,1959.0,1886.0,1880.0,-4286.0,3839.0,3839.0,409.0,409.0,-19.0,-19.0,-60.0,390.0,390.0,14245.0,14113.0,1600.0,1731.0,-7490.0,15845.0,15845.0,35860.0,35860.0,-3.0,-3.0,17174.0,35857.0,35857.0,165.06954545454548,165.31045454545455,164.7159090909091,164.92954545454543,1030.5704545454544,0.0,1121.722727272727,1124.0500000000002,1119.1863636363635,1121.4363636363635,2309.3,10884.4,360.6,3374.3,250.1,4590.2,12433.6,6392.5,8375.1,1681.5,16323.8,21302.9,2916.3,5344.3,37843.3,7526.6,9123.4,6383.2,11963.4,3162.6,8254.5,3127.0,19815.3,15382.4,9269.9,4339.7,15016.5,44162.0,3730.9,19205.9,36139.1,6819.3,13456.8,22262.0,4581.3,25516.0,1871.6,24591.4,20726.8,134811.0,30133.9,37746.2,17452.2,3041.5,56595.6,7855.6,26025.2,9494.4,503374.4,504129.8,135289.0,755.5,284620.0,73.659,78.129,75.859,92.38,86.913,79.877,18.0,43.5,22.6,4.1,134646182805000.0,140237752438748.0,131813000000000.0,137484660235000.0,690.46,716.86,242350256510.0,1323.0,1326.0,36359821910.0,82135475957.0,3733430725.0,15020632129.0,682756006.0,41.39,1.78,2101.98,2204.85,1455505296056.0,52362035044.0,788.0,901.0,10.36,123269550926.0,5603161406.0,9455197243.0,429781693.0,18.1,721743.0,835620.0,1640655.0,885248.0,3.0,51111.0,145627.0,904604.0,2934543.0,3839147.0,241269.9,287729.3,60794.9,79123.6,165063.1,503374.4,183461.1,330712.9,35805.0,35808.0,-3.0,-3.0,17174.0,1959.0,409.0,-478.0,0.07112995813851479
2019-02-01,1.75,0.0,0.4,-2.3,1.4,0.4,3.2,-0.4,1.5,1.6,0.6,2.8,-4.2,0.5,70.0,80.0,79.0,99.0,94.0,84.0,120.0,92.0,120.0,93.0,102.0,93.0,100.6,-478.0,-478.0,0.0,0.0,-4866.0,-478.0,-478.0,35808.0,35808.0,-3.0,-3.0,17174.0,35806.0,35806.0,1953.0,1959.0,1886.0,1880.0,-4286.0,3839.0,3839.0,409.0,409.0,-19.0,-19.0,-60.0,390.0,390.0,14245.0,14113.0,1600.0,1731.0,-7490.0,15845.0,15845.0,35860.0,35860.0,-3.0,-3.0,17174.0,35857.0,35857.0,166.5770588235294,166.7058823529412,166.2935294117647,166.45705882352942,1017.520588235294,0.0,1123.6588235294118,1124.735294117647,1120.9529411764704,1122.2529411764704,2309.3,10884.4,360.6,3374.3,250.1,4590.2,12433.6,6392.5,8375.1,1681.5,16323.8,21302.9,2916.3,5344.3,37843.3,7526.6,9123.4,6383.2,11963.4,3162.6,8254.5,3127.0,19815.3,15382.4,9269.9,4339.7,15016.5,44162.0,3730.9,19205.9,36139.1,6819.3,13456.8,22262.0,4581.3,25516.0,1871.6,24591.4,20726.8,134811.0,30133.9,37746.2,17452.2,3041.5,56595.6,7855.6,26025.2,9494.4,503374.4,504129.8,135289.0,755.5,284620.0,73.591,78.092,75.772,92.45,86.882,79.824,18.266666666666666,43.13333333333333,22.64166666666667,4.208333333333333,98980051882000.0,103470798635916.0,96928800000000.0,101474145801000.0,739.71,731.25,249196922426.0,1325.0,1328.0,36590562619.0,67740834616.0,3984754977.0,13731086471.0,807710969.0,37.64,1.77,2210.2,2195.44,1448767023639.0,52486929008.0,788.0,901.0,10.38,95521375674.0,5618904451.0,6882554315.0,404856136.0,13.13,707858.75,843575.5833333334,1636431.4166666667,883034.0833333334,2.9166666666666665,50762.666666666664,145106.33333333334,914261.0,2927952.9166666665,3842213.9166666665,241269.9,287729.3,60794.9,79123.6,165063.1,503374.4,183461.1,330712.9,35805.0,35808.0,-3.0,-3.0,17174.0,1959.0,409.0,-478.0,0.07112995813851479
2019-03-01,1.75,-0.1,0.0,-2.4,1.2,1.1,2.4,-0.5,1.2,1.5,0.1,2.2,-3.6,0.4,70.0,79.0,79.0,99.0,93.0,83.0,115.0,94.0,116.0,91.0,102.0,92.0,100.8,-478.0,-478.0,0.0,0.0,-4866.0,-478.0,-478.0,35808.0,35808.0,-3.0,-3.0,17174.0,35806.0,35806.0,1953.0,1959.0,1886.0,1880.0,-4286.0,3839.0,3839.0,409.0,409.0,-19.0,-19.0,-60.0,390.0,390.0,14245.0,14113.0,1600.0,1731.0,-7490.0,15845.0,15845.0,35860.0,35860.0,-3.0,-3.0,17174.0,35857.0,35857.0,168.52,168.685,168.243,168.43599999999998,1018.5769999999999,0.0,1131.875,1133.4199999999998,1129.725,1131.6699999999998,2309.3,10884.4,360.6,3374.3,250.1,4590.2,12433.6,6392.5,8375.1,1681.5,16323.8,21302.9,2916.3,5344.3,37843.3,7526.6,9123.4,6383.2,11963.4,3162.6,8254.5,3127.0,19815.3,15382.4,9269.9,4339.7,15016.5,44162.0,3730.9,19205.9,36139.1,6819.3,13456.8,22262.0,4581.3,25516.0,1871.6,24591.4,20726.8,134811.0,30133.9,37746.2,17452.2,3041.5,56595.6,7855.6,26025.2,9494.4,503374.4,504129.8,135289.0,755.5,284620.0,73.467,78.026,75.626,92.541,86.867,79.74,18.53333333333333,42.766666666666666,22.683333333333334,4.316666666666666,171489155820000.0,176877230354849.0,169173600000000.0,174620456830000.0,742.44,729.31,249257413980.0,1331.0,1334.0,36823316265.0,89305081994.0,4465254100.0,15572983777.0,778649189.0,42.43,1.81,2161.91,2140.67,1417246090701.0,52607645632.0,791.0,904.0,10.13,98439945182.0,4921997259.0,6458055507.0,322902775.0,12.29,693974.5,851531.1666666666,1632207.8333333333,880820.1666666666,2.8333333333333335,50414.333333333336,144585.66666666666,923918.0,2921362.8333333335,3845280.8333333335,241269.9,287729.3,60794.9,79123.6,165063.1,503374.4,183461.1,330712.9,35805.0,35808.0,-3.0,-3.0,17174.0,1959.0,409.0,-478.0,0.07112995813851479
2019-04-01,1.75,0.1,-0.2,-2.6,1.0,1.4,3.3,0.0,1.0,1.5,-0.4,1.9,-1.9,0.6,74.0,81.0,83.0,98.0,97.0,87.0,110.0,95.0,117.0,93.0,101.0,95.0,102.8,440.0,440.0,0.0,0.0,1792.0,440.0,440.0,16709.0,16710.0,-25.0,-25.0,-1003.0,16684.0,16684.0,-130.0,-126.0,-34.0,-38.0,-4525.0,-164.0,-164.0,1845.0,1845.0,-18.0,-18.0,0.0,1827.0,1827.0,26366.0,26377.0,1390.0,1379.0,9081.0,27756.0,27756.0,18034.0,18034.0,-25.0,-25.0,-1003.0,18008.0,18008.0,170.09954545454545,170.23954545454546,169.7490909090909,169.90318181818182,1023.7572727272726,0.0,1142.7863636363638,1144.227272727273,1139.8454545454547,1141.409090909091,2033.3,10407.6,401.8,3353.1,316.2,4303.1,12350.6,6701.8,8164.4,1756.2,16883.8,21541.3,2752.4,5191.2,37300.7,7838.5,9342.8,6591.4,12081.7,3163.8,8472.2,3088.8,20740.8,15840.0,9205.3,4410.1,15906.7,44016.2,3648.9,19433.7,37624.7,7783.2,13771.8,22833.0,5111.5,25915.6,1668.8,25229.3,21031.2,135831.6,30643.0,37962.7,17687.3,2954.2,56366.8,7541.4,27216.9,9734.5,510024.9,513636.9,136305.3,3612.0,289065.4,73.361,78.026,75.444,92.596,86.863,79.63,18.8,42.4,22.725,4.425,237730838957000.0,243792621385507.0,234550600000000.0,240659603275000.0,755.68,754.74,258788699293.0,1332.0,1335.0,37146563847.0,93503017843.0,4250137175.0,18551303122.0,843241051.0,50.2,1.76,2212.12,2203.59,1461526970030.0,52846165737.0,791.0,904.0,10.43,118322428676.0,5378292213.0,9689748201.0,440443100.0,18.37,680090.25,859486.75,1627984.25,878606.25,2.75,50066.0,144065.0,933575.0,2914772.75,3848347.75,243546.0,307786.0,65160.9,81210.8,181200.2,510024.9,191746.7,335502.0,16685.0,16710.0,-25.0,-25.0,-1003.0,-126.0,1845.0,440.0,0.032714089057220536
